Original_insults,regex,insult_name,regex2
pesetera,peseter[a-z]+,Peseterx,\bpeseter[a-z]+\b
peste,so[n|s].*(peste),Peste,\bso[n|s].*(peste)\b
picaro,picar[a-z]+,Picarx,\bpicar[a-z]+\b
pichona,pichon[a-z]+,Pichonx,\bpichon[a-z]+\b
pilantra,pilantr[a-z]+,Pilantra,\bpilantr[a-z]+\b
piojo resucitado,pioj[a-z]+,Piojo,\bpioj[a-z]+\b
piojoso,pioj[a-z]+,Piojo,\bpioj[a-z]+\b
planeros,planer[a-z]+,Planerx,\bplaner[a-z]+\b
pobre ser,pobre ser,Pobre_ser,\bpobre ser\b
politicuchos,politicuch[a-z]+,Politruchx,\bpoliticuch[a-z]+\b
prepotente,prepotente[s]?,Prepotente,\bprepotente[s]?\b
psicopata,psicopata[s]?,Psicopata,\bpsicopata[s]?\b
psicopatas,psicopata[s]?,Psicopata,\bpsicopata[s]?\b
pusilanime,pusilanime[s]?,Pusilanime,\bpusilanime[s]?\b
putañero,putañer[a-z]+,Putañerx,\bputañer[a-z]+\b
puta,(put[aeos]*|putit[a-z]+),Putx,\b(put[aeos]*|putit[a-z]+)\b
puto arrepentido,(put[aeos]*|putit[a-z]+),Putx,\b(put[aeos]*|putit[a-z]+)\b
que se jodan,que se (joda[n]?),Que_se_jodan,\bque se (joda[n]?)\b
que se prendan fuego,que se (prenda[n]? fuego),Que_se_prendan_fuego,\bque se (prenda[n]? fuego)\b
rascahuevos,rascahuevos,Rascahuevos,\brascahuevos\b
rastreras,rastrer[a-z]+,Rastrerx,\brastrer[a-z]+\b
rastrero,rastrer[a-z]+,Rastrerx,\brastrer[a-z]+\b
rastrero de cuarta,rastrer[a-z]+,Rastrerx,\brastrer[a-z]+\b
habitante de la cloaca,habitante[s]? de la cloaca,Rata,\bhabitante[s]? de la cloaca\b
rata,rata[s]?,Rata,\brata[s]?\b
rata inmunda,rata[s]?,Rata,\brata[s]?\b
ratas,rata[s]?,Rata,\brata[s]?\b
rata de cloaca,rata[s]?,Rata,\brata[s]?\b
rey de la saraza,rey de la saraza,Reinx_de_la_sarasa,\brey de la saraza\b
relateros de cuarta,relater[a-z]+,Relaterx,\brelater[a-z]+\b
repara ojetes,repara ojetes,Repara_ojetes,\brepara ojetes\b
represores,represor[a-z]+,Represores,\brepresor[a-z]+\b
repugnante,repugnante[s]?[ ser[es]*]?,Repugnante,\brepugnante[s]?[ ser[es]*]?\b
repugnante ser,repugnante[s]?[ ser[es]*]?,Repugnante,\brepugnante[s]?[ ser[es]*]?\b
repugnantes,repugnante[s]?[ ser[es]*]?,Repugnante,\brepugnante[s]?[ ser[es]*]?\b
resentida,resentid[a-z]+,Resentidx,\bresentid[a-z]+\b
resentidas,resentid[a-z]+,Resentidx,\bresentid[a-z]+\b
resentidos,resentid[a-z]+,Resentidx,\bresentid[a-z]+\b
retrasada,retrasad[a-z]+( mental[es]*)?,Retrasadx,\bretrasad[a-z]+( mental[es]*)?\b
retrasada mental,retrasad[a-z]+( mental[es]*)?,Retrasadx,\bretrasad[a-z]+( mental[es]*)?\b
ridicula,ridicul[a-z]+,Ridiculx,\bridicul[a-z]+\b
ridicula de morondanga,ridicul[a-z]+,Ridiculx,\bridicul[a-z]+\b
ridiculo,ridicul[a-z]+,Ridiculx,\bridicul[a-z]+\b
ridiculos,ridicul[a-z]+,Ridiculx,\bridicul[a-z]+\b
nos estan rompiendo el orto,romp[a-z]+ el (orto|ogt|culo|ojete),Romper_el_orto,\bromp[a-z]+ el (orto|ogt|culo|ojete)\b
le rompen el culo,rompe.*(culo|ogt|ojete|orto)[s]?,Romper_el_orto,\brompe.*(culo|ogt|ojete|orto)[s]?\b
le rompen el ogt,rompe.*(culo|ogt|ojete|orto)[s]?,Romper_el_orto,\brompe.*(culo|ogt|ojete|orto)[s]?\b
salame,salame[s]?,Salame,\bsalame[s]?\b
sangaletones,sangaleton(es)?,Sangaleton,\bsangaleton(es)?\b
sanganos,sangano(s)?,Sanganx,\bsangano(s)?\b
sanguijuela,sanguijuela(s)?,Sanguijuela,\bsanguijuela(s)?\b
sanguijuela mugrienta,sanguijuela(s)?,Sanguijuela,\bsanguijuela(s)?\b
saqueadores,saqueador[a-z]+,Saqueadorx,\bsaqueador[a-z]+\b
satrapas,satrapa(s)?,Satrapa,\bsatrapa(s)?\b
serpientes,serpiente(s)?,Serpiente,\bserpiente(s)?\b
shhh,sh(h)+,Shh,\bsh(h)+\b
sicarios,sicari[a-z]+,Sicarix,\bsicari[a-z]+\b
ser siniestro,ser(es)? (despreciable|inmundo|siniestro|horrible)(s)?,Siniestrx,\bser(es)? (despreciable|inmundo|siniestro|horrible)(s)?\b
siniestros,siniestr[a-z]+,Siniestrx,\bsiniestr[a-z]+\b
sin escrupulos,sin escrupulos,Sinverguenza,\bsin escrupulos\b
sin vergenza,sin verguenza(s)?,Sinverguenza,\bsin verguenza(s)?\b
sin-ver-guen-zas,sin.*ver.*guen.*za(s)?,Sinverguenza,\bsin.*ver.*guen.*za(s)?\b
sinverguenza,sin.*ver.*guen.*za(s)?,Sinverguenza,\bsin.*ver.*guen.*za(s)?\b
sinverguenzas,sin.*ver.*guen.*za(s)?,Sinverguenza,\bsin.*ver.*guen.*za(s)?\b
soberbia,soberbi[a-z]+,Soberbix,\bsoberbi[a-z]+\b
soberbio,soberbi[a-z]+,Soberbix,\bsoberbi[a-z]+\b
sociopata,sociopata(s)?,Sociopata,\bsociopata(s)?\b
manga de soretes,soret[a-z]+,Soretx,\bsoret[a-z]+\b
pedazo de sorete,soret[a-z]+,Soretx,\bsoret[a-z]+\b
soreta,soret[a-z]+,Soretx,\bsoret[a-z]+\b
sorete,soret[a-z]+,Soretx,\bsoret[a-z]+\b
sorete mal cagado,soret[a-z]+,Soretx,\bsoret[a-z]+\b
soretes,soret[a-z]+,Soretx,\bsoret[a-z]+\b
soretita,soret[a-z]+,Soretx,\bsoret[a-z]+\b
succionadora,succionador[a-z]+,Succionadorx,\bsuccionador[a-z]+\b
tarada a cuerda,tarad[a-z]+,Taradx,\btarad[a-z]+\b
tarada mental,tarad[a-z]+,Taradx,\btarad[a-z]+\b
taradito,tarad[a-z]+,Taradx,\btarad[a-z]+\b
tarado,tarad[a-z]+,Taradx,\btarad[a-z]+\b
tarados,tarad[a-z]+,Taradx,\btarad[a-z]+\b
termos,termo(s)?,Termo,\btermo(s)?\b
terrorista,terrorista(s)?,Terrorista,\bterrorista(s)?\b
terroristas,terrorista(s)?,Terrorista,\bterrorista(s)?\b
terroristas de estado,terrorista(s)?,Terrorista,\bterrorista(s)?\b
tibios,tibi[a-z]+,Tibix,\btibi[a-z]+\b
tilingos,tiling[a-z]+,Tilingx,\btiling[a-z]+\b
titere,titere(s)?,Titere,\btitere(s)?\b
titeres,titere(s)?,Titere,\btitere(s)?\b
tomarnos de boludos,tomar(me|nos|te|l[aeo](s)?) (de|por) bolud[a-z]+,Tomarme_de_boludx,\btomar(me|nos|te|l[aeo](s)?) (de|por) bolud[a-z]+\b
tonta,tont[a-z]+,Tontx,\btont[a-z]+\b
totalitario,totalitari[a-z]+,Totalitarix,\btotalitari[a-z]+\b
traga sables,traga( )?sables,Tragasables,\btraga( )?sables\b
tragasables,traga( )?sables,Tragasables,\btraga( )?sables\b
traicionera,traicioner[a-z]+,Traicionerx,\btraicioner[a-z]+\b
traidor,traidor[a-z]*,Traidorx,\btraidor[a-z]*\b
traidora,traidor[a-z]*,Traidorx,\btraidor[a-z]*\b
traidores,traidor[a-z]*,Traidorx,\btraidor[a-z]*\b
traidores a la patria,traidor[a-z]*,Traidorx,\btraidor[a-z]*\b
tramposo,trampos[a-z]+,Tramposx,\btrampos[a-z]+\b
tramposos,trampos[a-z]+,Tramposx,\btrampos[a-z]+\b
tranfugas,tranfuga(s)?,Tranfugx,\btranfuga(s)?\b
troll,troll[es]*,Troll,\btroll[es]*\b
troll de mierda,troll[es]*,Troll,\btroll[es]*\b
trolles,troll[es]*,Troll,\btroll[es]*\b
trolls,troll[es]*,Troll,\btroll[es]*\b
retrolazo,(re)?trolazo[s]?,Trolx,\b(re)?trolazo[s]?\b
trolo,trol[aeo](s)?,Trolx,\btrol[aeo](s)?\b
trucha,truch[a-z]+,Truchx,\btruch[a-z]+\b
trucho,truch[a-z]+,Truchx,\btruch[a-z]+\b
truchos,truch[a-z]+,Truchx,\btruch[a-z]+\b
tuerto,tuert[a-z]+,Tuertx,\btuert[a-z]+\b
turra,turr[a-z]+,Turrx,\bturr[a-z]+\b
vaca,vaca(s)?,Vaca,\bvaca(s)?\b
vaga,vag[a-z]+,Vagx,\bvag[a-z]+\b
vagabundo,vag[a-z]+,Vagx,\bvag[a-z]+\b
vago,vag[a-z]+,Vagx,\bvag[a-z]+\b
vagos,vag[a-z]+,Vagx,\bvag[a-z]+\b
manga de vagos,vag[aueos]*,Vagx,\bvag[aueos]*\b
veleta,veleta(s)?,Veleta,\bveleta(s)?\b
vende humo,vende( )?humo,Vendehumo,\bvende( )?humo\b
vendehumo,vende( )?humo,Vendehumo,\bvende( )?humo\b
vende patria,vende( )?patria(s)?,Vendepatria,\bvende( )?patria(s)?\b
vende patria de mierda,vende( )?patria(s)?,Vendepatria,\bvende( )?patria(s)?\b
vende patrias,vende( )?patria(s)?,Vendepatria,\bvende( )?patria(s)?\b
vendida,vendid[a-z]+,Vendidx,\bvendid[a-z]+\b
vendido,vendid[a-z]+,Vendidx,\bvendid[a-z]+\b
ventajero,ventajer[a-z]+,Ventajerx,\bventajer[a-z]+\b
son una verguenza,so[n|s].*(verguenza),Vergenza,\bso[n|s].*(verguenza)\b
sos una verguenza,so[n|s].*(verguenza),Vergenza,\bso[n|s].*(verguenza)\b
sos una vergenza,so[n|s].*(verguenza),Vergenza,\bso[n|s].*(verguenza)\b
vibora,vibora(s)?,Vibora,\bvibora(s)?\b
vejetes,vejet[a-z]+,Viejx,\bvejet[a-z]+\b
viejos chotos,viej[aoe](s)? chot[a-z]+,Viejx,\bviej[aoe](s)? chot[a-z]+\b
viejo ciruja,viej[aoe](s)? ciruja(s)?,Viejx,\bviej[aoe](s)? ciruja(s)?\b
viejo rancio,viej[aoe](s)? ranci[a-z]+,Viejx,\bviej[aoe](s)? ranci[a-z]+\b
vil,vil,Vil,\bvil\b
villera de cuarta,viller[a-z]+,Villerx,\bviller[a-z]+\b
violentos,violent[a-z]+,Violentx,\bviolent[a-z]+\b
vomito con patas,vomito con patas,Vomito_con_patas,\bvomito con patas\b
vulgar,vulgar(es)?,Vulgar,\bvulgar(es)?\b
yegua,yegua(s)?,Yegua,\byegua(s)?\b
zangana,zangan[a-z]+,Zanganx,\bzangan[a-z]+\b
zanganos,zangan[a-z]+,Zanganx,\bzangan[a-z]+\b
zoquete,zoquete(s)?,Zoquetx,\bzoquete(s)?\b
zorras,zorr[a-z]+,Zorrx,\bzorr[a-z]+\b
zorros,zorr[a-z]+,Zorrx,\bzorr[a-z]+\b
zurdo con osde,zurd[a-z]+ con osde,Zurdx_con_osde,\bzurd[a-z]+ con osde\b
zurda guerrillera,zurd[a-z]+ guerriller[a-z]+,Zurdx_guerrillerx,\bzurd[a-z]+ guerriller[a-z]+\b
